subject,number_of_contexts,contexts,train_windows,test_windows,accuracy,balanced_accuracy,macro_f1
P01,4,"M,R,S,W",646,68,0.7352941176470589,0.787878787878788,0.7215277777777778
P02,4,"M,R,S,W",633,81,0.9876543209876543,0.9875,0.9864468864468865
P03,3,"R,S,W",663,51,1.0,1.0,1.0
P04,1,R,692,22,0.9545454545454546,0.9545454545454546,0.9767441860465116
P05,1,R,699,15,1.0,1.0,1.0
P06,2,"R,S",667,47,0.723404255319149,0.7316849816849818,0.723404255319149
P07,3,"R,S,W",651,63,0.9206349206349206,0.9292929292929294,0.9247121672653588
P08,1,R,703,11,0.9090909090909091,0.9090909090909091,0.9523809523809523
P09,4,"M,R,S,W",646,68,0.7647058823529411,0.7894736842105263,0.735023923444976
P10,4,"M,R,S,W",641,73,0.5753424657534246,0.5448717948717949,0.5166666666666666
P11,4,"M,R,S,W",638,76,0.7763157894736842,0.7861842105263158,0.7483942167387938
P12,4,"M,R,S,W",640,74,0.8378378378378378,0.8544254658385093,0.8573090785426478
P13,4,"M,R,S,W",649,65,0.8615384615384616,0.8628472222222222,0.8610560171535782
